"","HHID","Year","Householdsize","FCS","Numberofdiffererentcropsproducedbythehousehold","Sexofhouseholdhead","Ageofthehouseholdhead","Educationlevelofthehouseholdhead","Totalcroppedarea","DDS","Numberofhouseholdproductionbynutritionalgroup","Foodexpenditure","Nonfoodexpenditure","Incomes","Region","Numberofdifferentnonagriculturalincomesources","Proportionoffoodconsumedinpreviousoneweekfromhouseholdsownproduction","Simpsonsindex","CaloriesbyHH","HeadAgricultureDecision","Agriculturalincomes","NonAgriculturalincomes","Propertyincomes","Investments","Transfers"
"78","1043000407","2012",6,98,6,"Male",34,34,5.0300002098,11,3,1234.32523701498,61.9970590191312,4049.3907440386,"Central",2,0.3,0.625,56494.5,"1",0,0,3251.33563389961,798.055110138995,0
"79","1043000409","2009",10,66,4,"Male",40,13,3.2400000095,8,2,94.15,97.1,1391.502,"Central",1,0.4285714286,0.731824417,411283.44,"1",643.677928502884,0,202.202490629178,202.204175649934,124.270280699183
"80","1043000409","2010",10,66,6,"Male",41,16,4.03,8,3,231.87570612901,142.594881412452,4650.6572844711,"Central",0,0.4545454545,0.7271367811,168015.999894619,"1",1685.02075524315,0,2948.78632167552,0,16.8502075524315
"81","1043000409","2012",11,108.5,6,"Male",42,16,2.5,11,4,486.961405168146,488.660966976775,443.363950077219,"Central",0,0.45,0.6643598616,126412.5,"1",0,0,443.363950077219,0,0
"88","1043000410","2009",11,67.5,5,"Female",43,34,12.96,7,3,82.8,1239,3410,"Central",0,0.3636363636,0.7107438017,59897.5,"1",598.182368111319,0,0,0,2274.77801957826
"89","1043000410","2010",13,63,6,"Female",44,34,13,10,3,483.263952603736,243.316997057111,10851.5336637659,"Central",0,0.347826087,0.5422437673,76513.5,"1",3942.94856726898,0,0,0,6908.58509649693
"90","1043000410","2012",15,110,10,"Female",45,41,18.4200000763,11,5,2011.43140051282,429.915243591544,10889.0186138965,"Central",0,0.5454545455,0.8225999357,402834,"1",2908.46751250656,0,0,0,7980.55110138995
"91","1043000601","2009",8,55.5,5,"Male",52,22,5,8,3,210,38.9,4000,"Central",1,0.3571428571,0.5,89166.04,"1",3370.04151048631,0,0,0,0
"92","1043000601","2010",8,62,4,"Male",52,22,5,10,2,804.513159590843,172.293372223612,1685.02075524315,"Central",1,0.2777777778,0.625,119750,"0",1263.76556643236,0,168.502075524315,0,252.753113286473
"93","1043000601","2012",8,57.5,5,"Male",53,22,1,6,3,114.83126307,28.9664447383783,3325.22962557914,"Central",1,0.5,0,116290,"0",3029.653658861,0,0,0,295.575966718146
"94","1043000603","2009",10,69,15,"Male",48,51,1.65,9,6,541,105.15,11599,"Central",2,0.55,0.8546544995,125859.56,"1",1095.26349090805,53.9206641677809,8298.72721957253,0,324.366495384307
"95","1043000603","2010",11,68,15,"Male",49,51,0.53,10,5,432.207823719869,77.3424526656607,1625.20251843202,"Central",2,0.3888888889,0.7755102041,78119,"1",764.15691250277,0,566.166973761699,0,294.878632167552
"96","1043000603","2012",11,93.5,15,"Male",49,41,5.6199999973,11,7,1558.27649653807,67.9085783534941,1625.6678169498,"Central",2,0.15625,0.6394032071,76272.5,"1",1182.30386687258,0,443.363950077219,0,0
"97","1043000604","2009",3,37,4,"Female",41,41,0.28,7,3,46.35,126.4,2070,"Central",1,0.3333333333,0.6666666667,19483.14,"1",0,0,1617.61992503343,0,126.376556643236
"98","1043000604","2010",3,52,7,"Female",42,41,0.11,8,5,85.51480332859,125.070665557923,303.303735943767,"Central",2,0,0.7777777778,9407.5,"1",0,0,303.303735943767,0,0
"99","1043000604","2012",4,42,5,"Female",43,51,0.25,9,4,71.433321756608,75.2240835297682,465.53214758108,"Central",1,0.3571428571,0,26916.5,"1",44.3363950077219,0,88.6727900154438,0,332.522962557914
"100","1043000605","2009",7,28.5,3,"Male",29,13,0.94,6,2,137,17.725,546,"Central",0,0.2,0.6666666667,50236.28,"1",429.680292587004,0,0,0,30.3303735943767
"101","1043000605","2010",11,35.5,6,"Male",30,16,1.98,6,5,178.864953169061,33.5529757887793,674.008302097261,"Central",0,0.2222222222,0.8,29562.5,"1",168.502075524315,0,0,0,505.506226572946
"102","1043000605","2012",16,73,8,"Male",30,15,2,10,5,578.035749913175,24.4589112459266,369.469958397683,"Central",0,0.380952381,0.7901234568,130610,"1",280.797168382239,0,0,0,88.6727900154438
"103","1043000607","2009",4,88.5,4,"Female",55,14,1.12,8,3,236,289,767,"Central",0,0.2307692308,0.64,38233.56,"1",195.462407608206,0,202.202490629178,0,248.540561398365
"104","1043000607","2010",4,56,5,"Female",56,14,2.64,9,3,32.4366495384307,8.551480332859,1465.96805706154,"Central",0,0.1111111111,0.7933884298,13087.5,"1",0,0,454.955603915651,0,1011.01245314589
"105","1043000607","2012",4,42.5,7,"Female",57,14,1,6,5,50.9868542588802,26.8235189796718,110.840987519305,"Central",0,0.4,0.8571428571,25572.5,"1",59.1151933436292,0,0,0,51.7257941756756
"106","1043000610","2009",10,50,6,"Male",46,32,6,6,4,62.7,28.25,2100,"Central",0,0.5454545455,0.7291666667,163038,"1",1769.27179300531,0,0,0,0
"107","1043000610","2010",10,66,7,"Male",47,34,0,9,4,319.648437269626,86.1045605929251,2123.12615160637,"Central",0,0.3076923077,0.7840973058,43103.5,"1",185.352283076747,0,1432.26764195668,0,505.506226572946
"108","1043000610","2012",10,88,6,"Male",48,33,3.1499999762,8,5,144.093283775096,71.8249599125095,2202.04095205019,"Central",2,0.5833333333,0.7785221767,140275,"1",1108.40987519305,0,886.727900154438,0,206.903176702702
"109","1043000611","2009",9,45,4,"Male",65,17,4.24,9,3,452.2,131.6,2400,"Central",0,0.2941176471,0.75,46138.8,"1",0,0,2022.02490629178,0,0
"110","1043000611","2010",8,97,8,"Male",65,21,0,10,3,2018.57061374353,38.3342221817817,1260.39552492188,"Central",2,0.0526315789,NA,110032,"1",121.321494377507,0,943.611622936166,0,195.462407608206
"111","1043000611","2012",9,72,10,"Male",66,22,0,10,5,1220.8765305293,119.338796562452,421.195752573358,"Central",2,0.2727272727,NA,115592,"1",310.354765054053,0,0,0,110.840987519305
"112","1043000804","2009",10,88,5,"Male",38,32,1,9,3,495.9,231.35,9000,"Central",0,0.4375,0.6666666667,99083.12,"1",1516.51867971884,0,6066.07471887535,0,0
"113","1043000804","2010",10,63.5,6,"Male",39,32,1.5,8,4,487.68713208625,232.195860072506,151.651867971884,"Central",1,0.25,0.8148148148,93905,"0",0,0,151.651867971884,0,0
"114","1043000804","2012",10,67,6,"Male",40,32,0,8,4,1018.73951628993,220.832194134295,29.5575966718146,"Central",1,0.2222222222,NA,121228,"0",29.5575966718146,0,0,0,0
